snapshot_date,underlying,option_code,option_type,strike,volume,turnover,open_interest,implied_volatility,premium
2026-05-29,US.CRWV,US.CRWV260605P86000,PUT,86.0,17030,843484.0,652,1.19485,45.5
2026-05-29,US.CRWV,US.CRWV260605C120000,CALL,120.0,6525,1086544.0,21651,0.97049,217.5
2026-05-29,US.CRWV,US.CRWV260605C108000,CALL,108.0,5092,2172494.0,2902,0.95015,640.0
2026-05-29,US.CRWV,US.CRWV260605C110000,CALL,110.0,5000,1797413.0,2376,0.95567,545.0
2026-05-29,US.CRWV,US.CRWV260605C115000,CALL,115.0,4808,1217034.0,1800,0.96042,350.0
2026-05-29,US.CRWV,US.CRWV260618C130000,CALL,130.0,4490,938578.0,62064,0.9709,350.0
2026-05-29,US.CRWV,US.CRWV260618C120000,CALL,120.0,3992,1657660.0,56968,0.95442,580.0
2026-05-29,US.CRWV,US.CRWV270115C140000,CALL,140.0,3751,7260038.0,7919,0.86816,2125.0
2026-05-29,US.CRWV,US.CRWV260605P65000,PUT,65.0,3583,21354.0,3326,1.61287,5.0
2026-05-29,US.CVX,US.CVX260821P170000,PUT,170.0,5047,2323937.0,486,0.29256,442.5
2026-05-29,US.CVX,US.CVX260605C200000,CALL,200.0,4975,61081.0,2483,0.39174,17.5
2026-05-29,US.CVX,US.CVX260717C200000,CALL,200.0,1581,299641.0,4000,0.27057,196.0
2026-05-29,US.CVX,US.CVX260618P190000,PUT,190.0,1441,1378330.0,3142,0.28575,935.0
2026-05-29,US.CVX,US.CVX260626C200000,CALL,200.0,825,69504.0,563,0.27542,85.5
2026-05-29,US.CVX,US.CVX260618P182500,PUT,182.5,760,352712.0,738,0.26467,432.5
2026-05-29,US.CVX,US.CVX260605P177500,PUT,177.5,744,82564.0,236,0.28009,90.0
2026-05-29,US.CVX,US.CVX260918C200000,CALL,200.0,723,350782.0,4749,0.26201,497.5
2026-05-29,US.CVX,US.CVX260605C182500,CALL,182.5,674,169396.0,152,0.27563,275.0
2026-05-29,US.CVX,US.CVX260605C190000,CALL,190.0,614,33004.0,640,0.28863,58.0
2026-05-29,US.DDOG,US.DDOG260821P175000,PUT,175.0,1888,1129055.0,81,0.72502,572.5
2026-05-29,US.DDOG,US.DDOG260618P202500,PUT,202.5,1819,370322.0,518,0.67402,162.0
2026-05-29,US.DDOG,US.DDOG260605P235000,PUT,235.0,1395,663405.0,3,0.6709,385.0
2026-05-29,US.DDOG,US.DDOG260618C235000,CALL,235.0,897,1514762.0,516,0.67241,2225.0
2026-05-29,US.DDOG,US.DDOG260612C260000,CALL,260.0,831,373153.0,612,0.65593,760.0
2026-05-29,US.DDOG,US.DDOG260612C240000,CALL,240.0,715,771458.0,610,0.68699,1710.0
2026-05-29,US.DDOG,US.DDOG260618C275000,CALL,275.0,651,242102.0,29,0.63635,545.0
2026-05-29,US.DDOG,US.DDOG260618C250000,CALL,250.0,642,621137.0,702,0.6541,1397.5
2026-05-29,US.DDOG,US.DDOG260717C290000,CALL,290.0,543,249536.0,94,0.60483,842.5
2026-05-29,US.DDOG,US.DDOG270319P125000,PUT,125.0,501,408521.0,549,0.72319,760.0
2026-05-29,US.DELL,US.DELL260717C470000,CALL,470.0,5790,15167901.0,0,0.75628,2887.5
2026-05-29,US.DELL,US.DELL260612P205000,PUT,205.0,5058,62819.0,119,1.92585,109.0
2026-05-29,US.DELL,US.DELL260605C450000,CALL,450.0,3798,3295922.0,128,0.88526,945.0
2026-05-29,US.DELL,US.DELL260605P410000,PUT,410.0,3739,7402685.0,5,0.83644,1365.0
2026-05-29,US.DELL,US.DELL260605C420000,CALL,420.0,3593,6874630.0,70,0.86147,2010.0
2026-05-29,US.DELL,US.DELL260605P400000,PUT,400.0,2746,3716501.0,0,0.81916,945.0
2026-05-29,US.DELL,US.DELL260618C420000,CALL,420.0,2686,7792240.0,21,0.8015,3200.0
2026-05-29,US.DELL,US.DELL260618C470000,CALL,470.0,2594,3263416.0,0,0.82069,1497.5
2026-05-29,US.DELL,US.DELL260605C465000,CALL,465.0,2580,1465033.0,0,0.89723,625.0
